sensor.taller_speaker_alarms | Taller speaker alarms
sensor.taller_speaker_timers | Taller speaker timers
switch.pantalla_oficina_do_not_disturb | Pantalla Oficina Do Not Disturb
switch.taller_speaker_do_not_disturb | Taller speaker Do Not Disturb
number.pantalla_oficina_alarm_volume | Pantalla Oficina alarm volume
number.taller_speaker_alarm_volume | Taller speaker alarm volume
sensor.browser_mod_17b58ed9_487de7e3_browser_id | browser_mod_17b58ed9_487de7e3 Browser ID
sensor.browser_mod_17b58ed9_487de7e3_browser_path | browser_mod_17b58ed9_487de7e3 Browser path
sensor.browser_mod_17b58ed9_487de7e3_browser_visibility | browser_mod_17b58ed9_487de7e3 Browser visibility
sensor.browser_mod_17b58ed9_487de7e3_browser_useragent | browser_mod_17b58ed9_487de7e3 Browser userAgent
sensor.browser_mod_17b58ed9_487de7e3_browser_user | browser_mod_17b58ed9_487de7e3 Browser user
binary_sensor.browser_mod_17b58ed9_487de7e3_browser_fullykiosk | browser_mod_17b58ed9_487de7e3 Browser FullyKiosk
sensor.browser_mod_17b58ed9_487de7e3_browser_width | browser_mod_17b58ed9_487de7e3 Browser width
sensor.browser_mod_17b58ed9_487de7e3_browser_height | browser_mod_17b58ed9_487de7e3 Browser height
binary_sensor.browser_mod_17b58ed9_487de7e3_browser_dark_mode | browser_mod_17b58ed9_487de7e3 Browser dark mode
binary_sensor.browser_mod_17b58ed9_487de7e3 | browser_mod_17b58ed9_487de7e3
light.browser_mod_17b58ed9_487de7e3_screen | browser_mod_17b58ed9_487de7e3 Screen
media_player.browser_mod_17b58ed9_487de7e3 | browser_mod_17b58ed9_487de7e3
sensor.browser_mod_17b58ed9_487de7e3_panel | browser_mod_17b58ed9_487de7e3 Panel
media_player.echo_dot_de_nezu | Echo Dot de Nezu
media_player.this_device | This Device
switch.echo_dot_de_nezu_do_not_disturb_switch | Echo Dot de Nezu do not disturb switch
switch.echo_dot_de_nezu_shuffle_switch | Echo Dot de Nezu shuffle switch
switch.echo_dot_de_nezu_repeat_switch | Echo Dot de Nezu repeat switch
switch.this_device_do_not_disturb_switch | This Device do not disturb switch
sensor.echo_dot_de_nezu_next_alarm | Echo Dot de Nezu next Alarm
sensor.echo_dot_de_nezu_next_timer | Echo Dot de Nezu next Timer
sensor.echo_dot_de_nezu_next_reminder | Echo Dot de Nezu next Reminder
sensor.this_device_next_alarm | This Device next Alarm
sensor.this_device_next_timer | This Device next Timer
sensor.this_device_next_reminder | This Device next Reminder
sensor.broadcom_adsl_router_external_ip | External IP
sensor.broadcom_adsl_router_download_speed | Download speed
sensor.broadcom_adsl_router_upload_speed | Upload speed
button.addressable_v3_5v_136093_restart | Restart
button.addressable_v3_5v_136093_unpair_remotes | Unpair remotes
light.addressable_v3_5v_136093 | N/A
number.addressable_v3_5v_136093_pixels_per_segment | Pixels per segment
number.addressable_v3_5v_136093_segments | Segments
number.addressable_v3_5v_136093_music_pixels_per_segment | Music pixels per segment
number.addressable_v3_5v_136093_music_segments | Music segments
number.addressable_v3_5v_136093_effect_speed | Effect speed
select.addressable_v3_5v_136093_wiring | Wiring
select.addressable_v3_5v_136093_ic_type | IC type
select.addressable_v3_5v_136093_remote_config | Remote config
sensor.addressable_v3_5v_136093_paired_remotes | Paired remotes
switch.addressable_v3_5v_136093_remote_access | Remote access
switch.addressable_v3_5v_136093_music | Music
media_player.pizarra_nezu_3 | Pizarra NEZU
media_player.oficina_tv | Oficina TV
media_player.offi | Offi
media_player.home | Home
media_player.offi_g | Offi G
media_player.cuarto_gus | N/A
media_player.audio_casa | N/A
media_player.chromecast | N/A
media_player.pantalla | N/A
media_player.rafa | Rafa
media_player.kd_43xe8005 | KD-43XE8005
sensor.browser_mod_a50818cf_ac8e952f_browser_path | browser_mod_a50818cf_ac8e952f Browser path
sensor.browser_mod_a50818cf_ac8e952f_browser_visibility | browser_mod_a50818cf_ac8e952f Browser visibility
sensor.browser_mod_a50818cf_ac8e952f_browser_useragent | browser_mod_a50818cf_ac8e952f Browser userAgent
sensor.browser_mod_a50818cf_ac8e952f_browser_user | browser_mod_a50818cf_ac8e952f Browser user
binary_sensor.browser_mod_a50818cf_ac8e952f_browser_fullykiosk | browser_mod_a50818cf_ac8e952f Browser FullyKiosk
sensor.browser_mod_a50818cf_ac8e952f_browser_width | browser_mod_a50818cf_ac8e952f Browser width
sensor.browser_mod_a50818cf_ac8e952f_browser_height | browser_mod_a50818cf_ac8e952f Browser height
binary_sensor.browser_mod_a50818cf_ac8e952f_browser_dark_mode | browser_mod_a50818cf_ac8e952f Browser dark mode
binary_sensor.browser_mod_a50818cf_ac8e952f | browser_mod_a50818cf_ac8e952f
light.browser_mod_a50818cf_ac8e952f_screen | browser_mod_a50818cf_ac8e952f Screen
media_player.browser_mod_a50818cf_ac8e952f | browser_mod_a50818cf_ac8e952f
sensor.browser_mod_a50818cf_ac8e952f_panel | browser_mod_a50818cf_ac8e952f Panel
sensor.browser_mod_6362bdf5_0185ec78_browser_path | Browser path
sensor.browser_mod_6362bdf5_0185ec78_browser_visibility | Browser visibility
sensor.browser_mod_6362bdf5_0185ec78_browser_useragent | Browser userAgent
sensor.browser_mod_6362bdf5_0185ec78_browser_user | Browser user
binary_sensor.browser_mod_6362bdf5_0185ec78_browser_fullykiosk | Browser FullyKiosk
